Urdu,Roman_Urdu
وہ نیش ہو رگ جاں میں فرو تو کیونکر ہو,vo niish ho ragej me faro to kykar ho
کس کو فرصت تھی کہ بتلاتا تجھے اتنی سی بات,kis ko fursat th ki batlt tujhe itn s baat
ٹھہرتے جاتے ہیں جتنے چشم عالم میں بھلے,thaharte jaate hai jitne chashmelam me bhale
یہ برگ برگ اداسی بکھر رہی ہے مری,ye barg barg uds bikhar rah hai mir
وہی ظلم بار دگر ہے تو پھر,vah zulm bredigar hai to phir
غالبؔ نہ کر حضور میں تو بار بار عرض,hlib na kar huzr me t baar baar arz
اثر بادۂ جوانی ہے,asarebdaejavn hai
سدا رکھتا ہوں شوق اس کے سخن کا,sad rakht huu shauq us ke suhan k
تو نے نہ اجازت مجھے بے بال و پری دی,t ne na ijzat mujhe beblopar d
کہاں پہ لائی ہے تم کو یہ زندگی دیکھو,kah pe laa hai tum ko ye zindag dekho
ارباب وفا جان بھی دینے کو ہیں تیار,arbbevaf jaan bh dene ko hai tayr
ظاہر ہے تیرا حال سب ان پر کہے بغیر,zhir hai ter haal sab un par kahe bahair
اس کے بدلے میں زمیں صدیوں کی پیاسی دے گیا,us ke badle me zam sadiyo k pys de gay
کوئی پوچھے ہزاروں میلوں سے,ko pchhe hazro mlo se
متاع بے بہا ہے درد و سوز آرزو مندی,matebebah hai dardosozerzmand
تھی میرے دل کی جو رانی امروہے کی رانی تھی,th mere dil k jo raan amrohe k raan th
ہے کوئی اور دوسرا کہئے,hai ko aur dsr kahiye
فنا کو سونپ گر مشتاق ہے اپنی حقیقت کا,fan ko saup gar mushtq hai apn haqqat k
کہاں گئے وہ ارادے سخن وروں والے,kah gae vo irde suhanvaro vaale
جب اس رم جھم کی وادی کے افسانے یاد آتے ہیں,jab us rimjhim k vaad ke afsne yaad aate hai
دل دکھے روئے ہیں شاید اس جگہ اے کوئے دوست,dildukhe roe hai shyad is jagah ai kedost
فسردگی میں طبیعت مچل تو سکتی ہے,fasurdag me tabat machal to sakt hai
شب فراق مری آنکھ کو تھکن سے بچا,shabefirq mir aakh ko thakan se bach
جس دن اس کا خط آیا ہے اس دن بھی ویرانی تھی,jis din us k hat aay hai us din bh vrn th
یہ وہ رات تھی کہ گزر گئی یہ وہ نشہ تھا کہ اتر گیا,ye vo raat th ki guzar ga ye vo nashsha th ki utar gay
دل اس سے ملا جس سے مقدر نہیں ملتا,dil us se mil jis se muqaddar nah milt
تم موج موج مثل صبا گھومتے رہو,tum mauj mauj mislesab ghmte raho
ایک نشتر سا رگ جاں کے قریب آج بھی ہے,ek nashtar s ragej ke qarb aaj bh hai
آج تیری ناخوشی درکار ہے,aaj ter nhush darkr hai
دیوانہ وار چاند سے آگے نکل گئے,dvnavr chd se aage nikal gae
تیری عنایتیں کہ نہیں نذر جاں قبول,ter inyate ki nah nazrej qubl
ورنہ باقی ہے طاقت پرواز,varna baaq hai tqateparvz
جب توقع ہی اٹھ گئی غالبؔ,jab tavaqqoa h uth ga hlib
بابا دنیا جیت کے میں دکھلا دوں گا,baab duniy jiit ke mai dikhl dg
گزرا اسدؔ مسرت پیغام یار سے,guzr asad masarratepaihmeyr se
رحم کر ظالم کہ کیا بود چراغ کشتہ ہے,rahm kar zlim ki ky bdecharhekushta hai
کیا تنگ ہم ستم زدگاں کا جہان ہے,ky tag ham sitamzadag k jahn hai
میں نے مجنوں پہ لڑکپن میں اسدؔ,mai ne majn pe laakpan me asad
اے شوخئ نگاہ کرم مدتوں کے بعد,ai shohienighekaram muddato ke baad
گھیر ہی لیں گے پولس والے سزا ہو یا نہ ہو,gher h lege police vaale saz ho y na ho
کہ اپنے سائے سے سر پانو سے ہے دو قدم آگے,ki apne saae se sar paav se hai do qadam aage
دل کی قلب ماہیت کا ہو اسے کیونکر یقیں,dil k qalbemhiyat k ho use kykar yaq
وحشتیں تھی دل کے سناٹے تھے دشت شام تھا,vahshate th dil ke sannte the dashteshm th
میری غربت کو شرافت کا ابھی نام نہ دے,mer hurbat ko sharfat k abh naam na de
ملے اگر لب شیریں کا تیرے اک بوسہ,mile agar labeshr k tere ik bosa
بے دلی کیا یوں ہی دن گزر جائیں گے,bedil ky yh din guzar jege
یہ معاملے ہیں نازک جو تری رضا ہو تو کر,ye mumle hai nzuk jo tir raz ho t kar
دل کہ یک قطرہ خوں نہیں ہے بیش,dil ki yak qatra huu nah hai besh
اے امید اے امید نو میداں,ai umiid ai umdenaumaid
مہر و ماہ و مشتری کو ہم عناں سمجھا تھا میں,mehr o maah o mushtar ko hamin samjh th mai
ٹک مہر کے پانی سوں تو آگ بجھاتی جا,tuk mehr ke paan suu t aag bujht j
جن کی نگری ہے وہ جانیں ہم ٹھہرے بنجارے لوگ,jin k nagr hai vo jne ham thahre banjre log
میں آپ کا نہیں ہوں نگہبان جائیے,mai aap k nah huu nigahbn jiye
جنون اب تو مثال نالۂ زنجیر ہم نکلے,junn ab to mislenlaezanjr ham nikle
ساقیا اپنی بغل میں شیشۂ صہبا ہیں آپ,sqiy apn bahal me shshaesahb hai aap
خدا کی خدائی میں تجھ سا نہ دیکھا,hud k hud me tujh s na dekh
دیکھا تو تھا یوں ہی کسی غفلت شعار نے,dekh to th yh kis haflatshir ne
یوں وہ ظلمت سے رہا دست و گریباں یارو,yuu vo zulmat se rah dastogareb yaaro
انہیں تو خاک میں ملنا ہی تھا کہ میرے تھے,unhe to haak me miln h th ki mere the
بہت حسین مناظر بھی حسن فطرت کے,bahut hasn manzir bh husnefitrat ke
میں اور بزم مے سے یوں تشنہ کام آؤں,mai aur bazmemai se yuu tishnakm aauu
اسی کا ایماں بدل گیا ہے,us k m badal gay hai
کسی بہانے تمہیں یاد کرنے لگتے ہیں,kis bahne tumhe yaad karne lagte hai
ہے تو یہ ناچیز لیکن اس میں کیا کیا چیز ہے,hai to ye nchz lekin is me ky ky chiiz hai
نہ تن میں خون فراہم نہ اشک آنکھوں میں,na tan me huun farham na ashk kho me
الفت دیرینہ کا جب ذکر اشاروں میں کیا,ulfatederna k jab zikr ishro me kiy
اب کسی بات پر نہیں آتی,ab kis baat par nah aat
اک سلسلۂ راز ہے جینا کہ ہو مرنا,ik silsilaerz hai jiin ki ho marn
خلوت میں جو پوچھو گے تو پنہاں نہ کریں گے,halvat me jo pchhoge to pinh na karege
اپنی مٹی کو کہیں چھوڑ کے جائیں کیسے,apn mitt ko kah chho ke jaae kaise
طبیعت ان دنوں بیگانۂ غم ہوتی جاتی ہے,tabat in dino begnaeham hot jaat hai
غرفہ اک دل میں وا کیا تو نے,hurfa ik dil me v kiy t ne
ظفرؔ آدمی اس کو نہ جانئے گا وہ ہو کیسا ہی صاحب فہم و ذکا,zafar aadm us ko na jniyeg vo ho kais h shabefahmozak
کچھ دل سے ہیں ڈرے ہوئے کچھ آسماں سے ہم,kuchh dil se hai dare hue kuchh sm se ham
جاتی ہے جس پہ جان مری جاں تمہیں تو ہو,jaat hai jis pe jaan mir jaa tumh to ho
مگر تمہارے تغافل نے ہوشیار کیا,magar tumhre tahful ne hoshyr kiy
بھڑکا رہے ہیں آگ لب نغمہ گر سے ہم,bhak rahe hai aag labenahmagar se ham
چمکا ترا جمال جو محفل میں وقت شام,chamk tir jaml jo mahfil me vaqteshm
نظر لطف اس نے کی ہی نہیں,nazarelutf us ne k h nah
وہ ہوا نہ رہی وہ چمن نہ رہا وہ گلی نہ رہی وہ حسیں نہ رہے,vo hav na rah vo chaman na rah vo gal na rah vo has na rahe
واں نہیں وقت تو ہم بھی ہیں عدیم الفرصت,vaa nah vaqt to ham bh hai admulfursat
تم سے دوری، یہ مجبوری، زخم کاری، بیداری،,tum se dr ye majbr zahmekr bedr
یاں صریر خامہ غیر از اصطکاک در نہیں,yaa sarrehma hairazistikkedar nah
یہ دل یہ پاگل دل مرا کیوں بجھ گیا آوارگی,ye dil ye pgal dil mir kyuu bujh gay vrg
میں سو بھی جاؤں تو کیا میری بند آنکھوں میں,mai so bh j to ky mer band kho me
اتنا کہ صرف کام چلاتا رہا ہوں میں,itn ki sirf kaam chalt rah huu mai
اسدؔ آئینۂ پرواز معانی مانگے,asad neparvzeman mge
جوتیوں میں دال ان کی اے ظفرؔ بٹ جائے گی,jtiyo me daal un k ai zafar bat jeg
سایۂ شاخ گل افعی نظر آتا ہے مجھے,syaeshhegul af nazar aat hai mujhe
میں زندہ ہوں یہ مشتہر کیجیے,mai zinda huu ye mushtahar kjiye
سمجھ لیجئے گا تو سمجھائیے گا,samajh ljiyeg to samjhiyeg
اول شب جام میری سمت وہ لایا نہیں,avvaleshab jaam mer samt vo laay nah
بلبل شیراز کوں کرتا ہوں یاد,bulbuleshrz kuu kart huu yaad
بن جائیں گے زہر پیتے پیتے,ban jege zahr piite piite
جان دینے کو ہوں موجود کوئی بات تو ہو,jaan dene ko huu maujd ko baat to ho
وہ جو سنتا ہی نہیں اس کو پکارے جائیں,vo jo sunt h nah us ko pukre jaae
ظالم اٹھا تو پردۂ وہم و گمان و فکر,zlim uth t pardaevahmogumnofikr
معجزے کی وہی امید مگر چاک سے ہے,moajize k vah ummd magar chaak se hai
ہے طرفہ امن گاہ نہاں خانۂ عدم,hai turfa amngh nihhnaeadam
مژدہ اے ذوق اسیری کہ نظر آتا ہے,muzhda ai zauqeasr ki nazar aat hai
کتنی انڈیلیں آنکھیں پہ بجھتا نہیں دھواں,kitn udel khe pa bujht nah dhu
مزے عشق کے کچھ وہی جانتے ہیں,maze ishq ke kuchh vah jnte hai
واشد ہوئی نہ دل کو فقیروں کے بھی ملے,vshud hu na dil ko faqro ke bh mile
یہ ڈرایا ہے کہ خود بن گئے ڈر کی صورت,ye dary hai ki hud ban gae dar k srat
پرندے اڑ رہے ہیں شاخ جاں سے,parinde u rahe hai shhej se
خوشبو کی زباں میں بول کبھی,hushb k zab me bol kabh
اگر دل واقف نیرنگیٔ طبع صنم ہوتا,agar dil vqifenairagetabesanam hot
ازل سے سوئی ہے تقدیر عشق موت کی نیند,azal se so hai taqdreishq maut k niid
ہم کہ نادان جواری ہیں سبھی جانتے ہیں,ham ki ndn jur hai sabh jnte hai
رہا گر کوئی تا قیامت سلامت,rah gar ko tqaymat salmat
چمن میں لالہ دکھاتا پھرتا ہے داغ اپنا کلی کلی کو,chaman me laala dikht phirt hai daah apn kal kal ko
دل کی وارفتگی ہے اپنی جگہ,dil k vraftag hai apn jagah
جنوں کی روح خوابیدہ اگر بیدار ہو جائے,jun k rhehvbda agar bedr ho jaae
یاں ہوئے میرؔ تم برابر خاک,yaa hue mr tum barbar haak
کیوں کبر و غرور اس دور پہ ہے کیوں دوست فلک کو سمجھا ہے,kyuu kibrohurr is daur pe hai kyuu dost falak ko samjh hai
تیرے ہی جلوہ کا ہے یہ دھوکا کہ آج تک,tere h jalve k hai ye dhok ki aaj tak
بدن میرا چھوا تھا اس نے لیکن,badan mer chhu th us ne lekin
لوگ لگتے ہیں پریشان ذرا دیکھ تو لو,log lagte hai pareshn zar dekh to lo
آج میں نے اپنا پھر سودا کیا,aaj mai ne apn phir saud kiy
پروانوں نے فانوس کو دیکھا تو یہ بولے,parvno ne fns ko dekh to ye bole
اس طرف سے گزرے تھے قافلے بہاروں کے,is taraf se guzre the qfile bahro ke
زندگی کے عجیب میلے تھے,zindag ke ajiib mele the
ترے جلوے کی ہے بقا مرے شوق نام بہ نام سے,tire jalve k hai baq mire shauqenmbanm se
کیا کہیں کتنے مراسم تھے ہمارے اس سے,ky kahe kitne marsim the hamre us se
رکتا ہوں تم کو بے سبب آزار دیکھ کر,rukt huu tum ko besabab zr dekh kar
ہم نے خود سے بھی چھپایا اور سارے شہر کو,ham ne hud se bh chhupy aur saare shahr ko
تو وے ہی جی گئے جو گرفتار مر گئے,to ve h j gae jo giraftr mar gae
میلی ہو جاتی ہے آواز بھی دہراتے ہوئے,mail ho jaat hai vz bh dohrte hue
ہوا رقیب تو ہو نامہ بر ہے کیا کہئے,hu raqb to ho nmabar hai ky kahiye
جشن مقتل ہی نہ برپا ہوا ورنہ ہم بھی,jashnemaqtal h na barp hu varna ham bh
کہیں ایسا نہ ہو یہ سم ہمیں بھی ہو تمہیں بھی ہو,kah ais na ho ye sam hame bh ho tumhe bh ho
وہ داد و دید گراں مایہ شرط ہے ہم دم,vo ddodd garmya shart hai hamdam
کیا جانے گرد راہ یہ کس کارواں کی ہے,ky jaane garderh ye kis krv k hai
پھر بھی محبت صرف مسلسل ملنے کی آسانی تھی,phir bh mohabbat sirf musalsal milne k sn th
جانے کون آس پاس ہوتا ہے,jaane kaun sps hot hai
لگا رہا ہوں مضامین نو کے پھر انبار,lag rah huu mazmnenau ke phir ambr
جو مجھے تجھ سے جدا کرتی ہے,jo mujhe tujh se jud kart hai
یہ غبار ناتواں خاکستر پروانہ ہے,ye hubrentav hkistareparvna hai
ہائے کیا ہو گیا طبیعت کو,haae ky ho gay tabat ko
بانس کی کھری کھاٹ کے اوپر ہر آہٹ پر کان دھرے,baas k kharr khaat ke uupar har aahat par kaan dhare
طاقت بقدر لذت آزار بھی نہیں,tqat baqadrelazzatezr bh nah
دیکھنا ہے کھینچتا ہے مجھ پہ پہلا تیر کون,dekhn hai khcht hai mujh pe pahl tiir kaun
دی ہے جائے دہن اس کو دم ایجاد نہیں,d hai jedahn us ko damejd nah
کھل رہے ہیں کہیں کنول شاید,khil rahe hai kah kaval shyad
پھر ہوا وقت کہ ہو بال کشا موج شراب,phir hu vaqt ki ho blkush maujesharb
جس کو دیکھو وہی زنجیر بہ پا لگتا ہے,jis ko dekho vah zanjrbap lagt hai
اتنی خوں خار نہ تھیں پہلے عبادت گاہیں,itn hhr na thii pahle ibdatghe
نا امیدی بڑھ گئی ہے اس قدر,nummd bah ga hai is qadar
مجھے مآل سفر کا ملال کیوں کر ہو,mujhe malesafar k mall kykar ho
یہ ہے مے کدہ یہاں رند ہیں یہاں سب کا ساقی امام ہے,ye hai maikada yah rid hai yah sab k saaq imaam hai
اسی طرح سے اگر چاہتا رہا پیہم,is tarah se agar chht rah paiham
باہر اپنے گمان سے نکلا,bhar apne gumn se nikl
وہیں دل کا کنول لہرا رہا ہے,vah dil k kaval lahr rah hai
جیتے جی موت کے تم منہ میں نہ جانا ہرگز,jiite j maut ke tum muh me na jaan hargiz
شادی کا شگون ہو گئی ہے,shd k shugn ho ga hai
ہر کھیل کا میدان یہاں بھی ہے وہاں بھی,har khel k maidn yah bh hai vah bh
اجنبی دوست ہمیں دیکھ کہ ہم,ajnab dost hame dekh ki ham
دیکھ رہا ہے سپنا چاند,dekh rah hai sapn chd
اگر تو چاہے تو غم والے شادماں ہو جائیں,agar t chhe to ham vaale shdm ho jaae
سچ ہے کہ ہمیں دل کو سنبھلنے نہیں دیتے,sach hai ki ham dil ko sambhalne nah dete
اے ظفرؔ لکھ تو غزل بحر و قوافی پھیر کر,ai zafar likh t hazal bahr o qavf pher kar
یہی ہے آزمانا تو ستانا کس کو کہتے ہیں,yah hai zmn to satn kis ko kahte hai
ہر ایک شب یوں ہی دیکھیں گی سوئے در آنکھیں,har ek shab yh dekheg sedar khe
مگر وہ حکم تو جاری کرے ہے,magar vo hukm to jaar kare hai
سو درد اک تبسم پنہاں میں بند ہیں,sau dard ik tabassumepinh me band hai
گوش عبرت سے سنے کوئی مری فریاد ہے,gosheibrat se sune ko mir fariyd hai
آئے کیا کیا یاد نظر جب پڑتی ان دالانوں پر,aae ky ky yaad nazar jab pat in dlno par
آسماں نے خوش ہو کر رنگ سا بکھیرا ہے,sm ne hush ho kar rag s bikher hai
حریم ناز میں اس کی رسائی ہو تو کیوں کر ہو,harmenz me us k ras ho to kykar ho
وہ کھیلنے کو برف کے گالے تو دے گیا,vo khelne ko barf ke gaale to de gay
حائل بس اک نفس ہے محشر میں اور ہم میں,haael bas ik nafas hai mahshar me aur ham me
ہے وہی بد مستی ہر ذرہ کا خود عذر خواہ,hai vah badmastieharzarra k hud uzrhvh
جب تک کہ سر ہے سجدۂ شکرانہ ساتھ ہے,jab tak ki sar hai sajdaeshukrna saath hai
رہے غالبؔ خستہ مغلوب گردوں,rahe hlibehasta mahlbegard
اجزا بدن کے جتنے تھے پانی ہو بہہ گئے,ajz badan ke jitne the paan ho bah gae
کیا کسی دشت پہ تو نے کبھی بارش نہیں کی,ky kis dasht pe t ne kabh brish nah k
اسیر ہو گیا دل گیسوؤں میں خوب ہوا,asiir ho gay dil gesuo me huub hu
رنجش ہی سہی دل ہی دکھانے کے لیے آ,ranjish h sah dil h dukhne ke liye aa
گھر میں تھا کیا کہ ترا غم اسے غارت کرتا,ghar me th ky ki tir ham use hrat kart
اردو ہے جس کا نام ہمیں جانتے ہیں داغؔ,urdu hai jis k naam ham jnte hai dh
اک طرف آنسوؤں کے ریلے تھے,ik taraf suo ke rele the
شکوۂ غم شیوۂ اہل وفا ہوتا نہیں,shikvaeham shevaeahlevaf hot nah
کیسے کہہ دوں کہ مجھے چھوڑ دیا ہے اس نے,kaise kah duu ki mujhe chho diy hai us ne
وہ خود کھڑا ہوا ہے قضا کی قطار میں,vo hud kha hu hai qaz k qatr me
کہ میری زندگی مجھ سے خفا ہے,ki mer zindag mujh se haf hai
شعر میرے ہیں مگر ان میں محبت اس کی,sher mere hai magar in me mohabbat us k
تیرے اکرام کا حق کس سے ادا ہوتا ہے,tere ikrm k haq kis se ad hot hai
آنکھ ان سے جو ملتی ہے تو کیا کیا نہیں ہوتا,aakh un se jo milt hai to ky ky nah hot
میری خاطر کیوں الجھے ہو,mer htir kyuu uljhe ho
ہے کائنات کو حرکت تیرے ذوق سے,hai kent ko harakat tere zauq se
آخری دور میں بھی تجھ کو قسم ہے ساقی,hir daur me bh tujh ko qasam hai saaq
ہے ذہن میں اک بات تمہارے متعلق,hai zehan me ik baat tumhre mutaalliq
ہر بار چھپا کوئی ہر بار نظر آیا,har baar chhup ko har baar nazar aay
کروں ذکر کیا میں شباب کا سنے کون قصہ یہ خواب کا,kar zikr ky mai shabb k sune kaun qissa ye hvb k
نہ سہی عشق مصیبت ہی سہی,na sah ishq musbat h sah
ایک تیرا غم کہ گنج شائیگاں بنتا گیا,ek ter ham ki ganjeshg bant gay
وہ پڑی ہیں روز قیامتیں کہ خیال روز جزا گیا,vo pa hai roz qaymate ki haylerozejaz gay
ندا آئی کہ آشوب قیامت سے یہ کیا کم ہے,nid aa ki shobeqaymat se ye ky kam hai
ہر طرح کے جذبات کا اعلان ہیں آنکھیں,har tarah ke jazbt k elaan hai khe
ظلم سے ہیں برسر پیکار آزادی پسند,zulm se hai barsarepaikr zdpasand
نشاط صحبت رنداں بہت غنیمت ہے,nashtesohbaterind bahut hanmat hai
کب حشر معین ہے تجھ کو تو خبر ہوگی,kab hashr muayyan hai tujh ko to habar hog
انہیں نگاہ ہے اپنے جمال ہی کی طرف,unhe nigh hai apne jaml h k taraf
پر ہوا ہے سیل سے پیمانہ کس تعمیر کا,pur hu hai sail se paimna kis taamr k
تم چھپ چھپ کر ہنستے ہو تم روپ کا مان بڑھاتے ہو,tum chhupchhup kar haste ho tum ruup k maan bahte ho
نظارے کی ہوس ہو تو لیلی بھی چھوڑ دے,nazzre k havas ho to lail bh chho de
یہ وار مجھ پہ ہوا بھی تو غائبانہ ہوا,ye vaar mujh pe hu bh to hebna hu
داغؔ کو یوں وہ مٹاتے ہیں یہ فرماتے ہیں,dh ko yuu vo mitte hai ye farmte hai
خوش آئے تجھے شہر منافق کی امیری,hush aae tujhe shahremunfiq k amr
اسی ذرے نے دور مہر و ماہ و مشتری بدلا,us zarre ne dauremehromhomushtar badl
یہ تودہ ریت کا ہے بیچ دریا,ye tuuda ret k hai beach dariy
شمع ہے لیکن دھندھلی دھندھلی,shama hai lekin dhudl dhudl
جھلس رہا تھا بدن گرمئ نفس سے مگر,jhulas rah th badan garmienafas se magar
آج کی داستاں ہماری ہے,aaj k dst hamr hai
جو دل لے کر کہے کم بخت تو کس دل سے ملتا ہے,jo dil le kar kahe kambaht t kis dil se milt hai
نئے انسان کا جب دور خود نا آگہی بدلا,nae insn k jab daurehudngah badl
نار نمرود کو کیا گلزار,nrenamrd ko kiy gulzr
افسردگی نہیں طرب انشائے التفات,afsurdag nah tarabinsheiltift
ہم اپنی دھرتی سے اپنی ہر سمت خود تلاشیں,ham apn dhart se apn har samt hud talshe
اے خدا درد دل ہے بخشش دوست,ai hud dardedil hai bahshishedost
اب ملتے ہیں جب بھی فرصت ہوتی ہے,ab milte hai jab bh fursat hot hai
عقل کے نقصاں سے اٹھتا ہے خیال انتفاع,aql ke nuqs se utht hai hayleintifa
میرے حضور شمع نے گریہ جو سر کیا,mere huzr shama ne girya jo sar kiy
تیز بارش کا سہارا اور ہے,tez brish k sahr aur hai
برق خرمن زار گوہر ہے نگاہ تیز یاں,barqehirmanzr gauhar hai nighetez yaa
تو پلائے جا تو پلائے جا اسی چشم جام بہ جام سے,t pile j t pile j is chashmejmbajm se
آئی یک عمر سے معذور تماشہ نرگس,aa yakumr se maazretamsha nargis
بھور سمے تک سویا چاند,bhor samay tak soy chd
ہے یہ تکیہ تری عطاؤں پر,hai ye takiya tir ato par
غضب تھی کثرت محفل کہ میں نے دھوکہ میں,hazab th kasratemahfil ki mai ne dhoke me
کھیلنا آہ دہکتے ہوئے انگاروں سے,kheln aah dahakte hue agro se
کہ جیوں انکھیاں منیں آتا ہے خواب آہستہ آہستہ,ki jyuu akhiy man aat hai hvb hista hista
تڑپ جائیے گا جو تڑپائیے گا,taap jiyeg jo tapiyeg
زندگی میری تھی لیکن اب تو,zindag mer th lekin ab to
زندگی کی تڑپ بڑھائی گئی,zindag k taap bah ga
تیری دستار سے واعظ یہ لٹکتا کیا ہے,ter dastr se vaaiz ye latakt ky hai
میں جفاؤں کا نہ کرتا یوں گلہ,mai jafo k na kart yuu gila
دن ہو اگر تو اس کو لکھوں دن رات اگر ہو رات لکھوں,din ho agar to us ko likh din raat agar ho raat likh
ہو کے وہ خواب عیش سے بیدار,ho ke vo hvbeaish se bedr
زندگی زلف کے سائے میں بھی شب کرتی ہے,zindag zulf ke saae me bh shab kart hai
ہم جو پیدا ہوئے سو پیر ہوئے,ham jo paid hue sau piir hue
اب کسی لیلی کو بھی اقرار محبوبی نہیں,ab kis lail ko bh iqrremahbb nah
نقش ہر ذرہ سویداۓ بیاباں نکلا,naqsheharzarra suvaidebayb nikl
تجھ نین کا خیال مجھے جام جم ہوا,tujh nain k hayl mujhe jmejam hu
خموشیوں کی صدائیں بلا رہی ہیں تمہیں,hamoshiyo k sade bul rah hai tumhe
کم پرانا بہت نیا تھا فراق,kam purn bahut nay th firq
باعث جمعیت جاں بوجھ کر,bisejamiyyatej buujh kar
مری سوچ خزاں کی شاخ بنی ترا چہرہ اور گلاب ہوا,mir soch hiz k shh ban tir chehra aur gulb hu
آنسو کو مری آنکھ میں آنا نہیں آتا,aas ko mir aakh me aan nah aat
ترے سوا غم فرقت کہوں تو کس سے کہوں,tire siv hamefurqat kah to kis se kah
تو بھی یہ مقام آرزو کر,t bh ye maqmerz kar
تیرے بیمار پہ ہیں فریادی,tere bmr pe hai fariyd
جس جگہ بیٹھ گئے آگ لگا کر اٹھے,jis jagah baith gae aag lag kar utthe
ہنس کے بولے وہ آدمی ہی نہیں,has ke bole vo aadm h nah
بزرگوں کی سمجھ داری سے بچئے,buzurgo k samajhdr se bachiye
ہم اہل انتظار کے آہٹ پہ کان تھے,ham ahleintizr ke aahat pe kaan the
چور ہے دل میں کچھ نہ کچھ یارو,chor hai dil me kuchh na kuchh yaaro
وہ میرا گاؤں ہے وہ میرے گاؤں کے چولھے,vo mer gaav hai vo mere gaav ke chlhe
وہاں بھی آ گئے آخر، جہاں رسائی نہ تھی,vah bh aa gae hir jah ras na th
ہم سے بھاگا نہ کرو دور غزالوں کی طرح,ham se bhg na karo duur hazlo k tarah
ہم نے عرض شوق نہ کر کے حسن کو زک پہنچائی ہے,ham ne arzeshauq na kar ke husn ko zak pahuch hai
بجا ہے آج وو راجہ اگر نوبت بجا نکلے,baj hai aaj vo raaja agar naubat baj nikle
غالبؔ خدا کرے کہ سوار سمند ناز,hlib hud kare ki savresamandenz
جادہ ہے وا شدن پیچش طومار ہنوز,jaada hai vshudanepechishetmr hunz
بسکہ روکا میں نے اور سینے میں ابھریں پے بہ پے,baski rok mai ne aur siine me ubhr paibapai
مجھ کو انسان سے اوتار کیا,mujh ko insn se autr kiy
کہ خوشی سے مر نہ جاتے اگر اعتبار ہوتا,ki hush se mar na jaate agar etibr hot
چپ چپ مکان راستے گم سم نڈھال وقت,chup chup makn rste gumsum nidhl vaqt
چراغ طور جلے آئنہ در آئینہ,charhetr jale inadarna
وہ خواب جو برسوں سے نہ چہرہ نہ بدن ہے,vo hvb jo barso se na chehra na badan hai
تکلف بر طرف نظارگی میں بھی سہی لیکن,takalluf bartaraf nazzrg me bh sah lekin
دل میں کوئی غم نہانی ہے,dil me ko hamenihn hai
منہ نہ دکھلاوے نہ دکھلا پر بہ انداز عتاب,muh na dikhlve na dikhl par baandzeitb
جب عشق اپنے مرکز اصلی پہ آ گیا,jab ishq apne markazeasl pe aa gay
میرے قاتل تو مرے اپنے حواری نکلے,mere qtil to mire apne havr nikle
سورج دماغ لوگ بھی ابلاغ فکر میں,srajdimh log bh ablhefikr me
ساقی وہی ہے میرا ناجیؔ کہ گر مروں میں,saaq vah hai mer nj ki gar mar mai
بے سبب تیری سرگرانی ہے,besabab ter sargirn hai
کوچ سب کر گئے دلی سے ترے قدر شناس,kuuch sab kar gae dill se tire qadrshans
اک شخص با ضمیر مرا یار مصحفیؔ,ik shahs bzamr mir yaar mushaf
نہ زباں کوئی غزل کی نہ زباں سے باخبر میں,na zab ko hazal k na zab se bhabar mai
یہ بتاتا نہیں کوئی مجھ کو,ye batt nah ko mujh ko
لکھا کرے کوئی احکام طالع مولود,likh kare ko ahkmetlaemauld
میرا سانس اکھڑتے ہی سب بین کریں گے روئیں گے,mer saas ukhate h sab bain karege roege
ہماری آنکھ کے آنسو کی اپنی دنیا ہے,hamr aakh ke aas k apn duniy hai
میری نگاہ شوق بھی کچھ کم نہیں مگر,mer nigheshauq bh kuchh kam nah magar
اب ہم سے منہ میں موت کے جایا نہ جائے گا,ab ham se muh me maut ke jaay na jeg
خجلت گدازیٔ نفس نارسا مجھے,hajlat gudzenafasenras mujhe
ڈاکا تو نہیں مارا چوری تو نہیں کی ہے,daak to nah maar chor to nah k hai
سرفروشی کے انداز بدلے گئے دعوت قتل پر مقتل شہر میں,sarfarosh ke andz badle gae dvateqatl par maqtaleshahr me
میں نے بھی اک چراغ سا دل سر شام رکھ دیا,mai ne bh ik charh s dil sareshm rakh diy
خاطر سے یا لحاظ سے میں مان تو گیا,htir se y lihz se mai maan to gay
جانشین جوہر آئینہ ہے خار چمن,jnashnejauharena hai hrechaman
جلوۂ خور سے فنا ہوتی ہے شبنم غالبؔ,jalvaehur se fan hot hai shabnam hlib
لب اپنے کاٹا کیا میں نہ کامیاب ہوا,lab apne kaat kiy mai na kmyb hu
ہر گام پہ پہرا ہے پھر بھی اسے کھونا ہے,har gaam pe pahr hai phir bh ise khon hai
اس شوخ نے تو دیکھنا اخبار بھی چھوڑا,us shoh ne to dekhn ahbr bh chho
تمہیں غرض جو کرو رحم پائمالوں پر,tumhe haraz jo karo rahm pemlo par
ہے عاشقی میں رسم الگ سب سے بیٹھنا,hai shiq me rasm alag sab se baithn
بال تدرو جلوۂ موج شراب ہے,bletadrrav jalvaemaujesharb hai
اثر سوز محبت کا قیامت بے محابا ہے,asar sozemohabbat k qaymat bemuhb hai
تجھ با حیا کے پگ پر آ کر حنا حیا سوں,tujh bhay ke pag par aa kar hin hay suu
کہیں ذکر رہتا ہے اقبالؔ تیرا,kah zikr raht hai iqbl ter
